State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,128,415,382-4657,0,1,25,265.100000,110,45.070000,197.400000,99,16.780000,244.700000,91,11.010000,10.000000,3,2.700000,1,False.
OH,107,415,371-7191,0,1,26,161.600000,123,27.470000,195.500000,103,16.620000,254.400000,103,11.450000,13.700000,3,3.700000,1,False.
NJ,137,415,358-1921,0,0,0,243.400000,114,41.380000,121.200000,110,10.300000,162.600000,104,7.320000,12.200000,5,3.290000,0,False.
OH,84,408,375-9999,1,0,0,299.400000,71,50.900000,61.900000,88,5.260000,196.900000,89,8.860000,6.600000,7,1.780000,2,False.
OK,75,415,330-6626,1,0,0,166.700000,113,28.340000,148.300000,122,12.610000,186.900000,121,8.410000,10.100000,3,2.730000,3,False.
AL,118,510,391-8027,1,0,0,223.400000,98,37.980000,220.600000,101,18.750000,203.900000,118,9.180000,6.300000,6,1.700000,0,False.
MA,121,510,355-9993,0,1,24,218.200000,88,37.090000,348.500000,108,29.620000,212.600000,118,9.570000,7.500000,7,2.030000,3,False.
MO,147,415,329-9001,1,0,0,157.000000,79,26.690000,103.100000,94,8.760000,211.800000,96,9.530000,7.100000,6,1.920000,0,False.
LA,117,408,335-4719,0,0,0,184.500000,97,31.370000,351.600000,80,29.890000,215.800000,90,9.710000,8.700000,4,2.350000,1,False.
WV,141,415,330-8173,1,1,37,258.600000,84,43.960000,222.000000,111,18.870000,326.400000,97,14.690000,11.200000,5,3.020000,0,False.
IN,65,415,329-6603,0,0,0,129.100000,137,21.950000,228.500000,83,19.420000,208.800000,111,9.400000,12.700000,6,3.430000,4,True.
RI,74,415,344-9403,0,0,0,187.700000,127,31.910000,163.400000,148,13.890000,196.000000,94,8.820000,9.100000,5,2.460000,0,False.
IA,168,408,363-1107,0,0,0,128.800000,96,21.900000,104.900000,71,8.920000,141.100000,128,6.350000,11.200000,2,3.020000,1,False.
MT,95,510,394-8006,0,0,0,156.600000,88,26.620000,247.600000,75,21.050000,192.300000,115,8.650000,12.300000,5,3.320000,3,False.
IA,62,415,366-9238,0,0,0,120.700000,70,20.520000,307.200000,76,26.110000,203.000000,99,9.140000,13.100000,6,3.540000,4,False.
NY,161,415,351-7269,0,0,0,332.900000,67,56.590000,317.800000,97,27.010000,160.600000,128,7.230000,5.400000,9,1.460000,4,True.
ID,85,408,350-8884,0,1,27,196.400000,139,33.390000,280.900000,90,23.880000,89.300000,75,4.020000,13.800000,4,3.730000,1,False.
VT,93,510,386-2923,0,0,0,190.700000,114,32.420000,218.200000,111,18.550000,129.600000,121,5.830000,8.100000,3,2.190000,3,False.
VA,76,510,356-2992,0,1,33,189.700000,66,32.250000,212.800000,65,18.090000,165.700000,108,7.460000,10.000000,5,2.700000,1,False.
TX,73,415,373-2782,0,0,0,224.400000,90,38.150000,159.500000,88,13.560000,192.800000,74,8.680000,13.000000,2,3.510000,1,False.
FL,147,415,396-5800,0,0,0,155.100000,117,26.370000,239.700000,93,20.370000,208.800000,133,9.400000,10.600000,4,2.860000,0,False.
CO,77,408,393-7984,0,0,0,62.400000,89,10.610000,169.900000,121,14.440000,209.600000,64,9.430000,5.700000,6,1.540000,5,True.
AZ,130,415,358-1958,0,0,0,183.000000,112,31.110000,72.900000,99,6.200000,181.800000,78,8.180000,9.500000,19,2.570000,0,False.
SC,111,415,350-2565,0,0,0,110.400000,103,18.770000,137.300000,102,11.670000,189.600000,105,8.530000,7.700000,6,2.080000,2,False.
VA,132,510,343-4696,0,0,0,81.100000,86,13.790000,245.200000,72,20.840000,237.000000,115,10.670000,10.300000,2,2.780000,0,False.
NE,174,415,331-3698,0,0,0,124.300000,76,21.130000,277.100000,112,23.550000,250.700000,115,11.280000,15.500000,5,4.190000,3,False.
WY,57,408,357-3817,0,1,39,213.000000,115,36.210000,191.100000,112,16.240000,182.700000,115,8.220000,9.500000,3,2.570000,0,False.
MT,54,408,418-6412,0,0,0,134.300000,73,22.830000,155.500000,100,13.220000,102.100000,68,4.590000,14.700000,4,3.970000,3,False.
MO,20,415,353-2630,0,0,0,190.000000,109,32.300000,258.200000,84,21.950000,181.500000,102,8.170000,6.300000,6,1.700000,0,False.
HI,49,510,410-7789,0,0,0,119.300000,117,20.280000,215.100000,109,18.280000,178.700000,90,8.040000,11.100000,1,3.000000,1,False.
IL,142,415,416-8428,0,0,0,84.800000,95,14.420000,136.700000,63,11.620000,250.500000,148,11.270000,14.200000,6,3.830000,2,False.
NH,75,510,370-3359,0,0,0,226.100000,105,38.440000,201.500000,107,17.130000,246.200000,98,11.080000,10.300000,5,2.780000,1,False.
LA,172,408,383-1121,0,0,0,212.000000,121,36.040000,31.200000,115,2.650000,293.300000,78,13.200000,12.600000,10,3.400000,3,False.
AZ,12,408,360-1596,0,0,0,249.600000,118,42.430000,252.400000,119,21.450000,280.200000,90,12.610000,11.800000,3,3.190000,1,True.
OK,57,408,395-2854,0,1,25,176.800000,94,30.060000,195.000000,75,16.580000,213.500000,116,9.610000,8.300000,4,2.240000,0,False.
GA,72,415,362-1407,0,1,37,220.000000,80,37.400000,217.300000,102,18.470000,152.800000,71,6.880000,14.700000,6,3.970000,3,False.
AK,36,408,341-9764,0,1,30,146.300000,128,24.870000,162.500000,80,13.810000,129.300000,109,5.820000,14.500000,6,3.920000,0,False.
MA,78,415,353-3305,0,0,0,130.800000,64,22.240000,223.700000,116,19.010000,227.800000,108,10.250000,10.000000,5,2.700000,1,False.
AK,136,415,402-1381,1,1,33,203.900000,106,34.660000,187.600000,99,15.950000,101.700000,107,4.580000,10.500000,6,2.840000,3,False.
NJ,149,408,332-9891,0,0,0,140.400000,94,23.870000,271.800000,92,23.100000,188.300000,108,8.470000,11.100000,9,3.000000,1,False.
GA,98,408,372-9976,0,0,0,126.300000,102,21.470000,166.800000,85,14.180000,187.800000,135,8.450000,9.400000,2,2.540000,3,False.
MD,135,408,383-6029,1,1,41,173.100000,85,29.430000,203.900000,107,17.330000,122.200000,78,5.500000,14.600000,15,3.940000,0,True.
AR,34,510,353-7289,0,0,0,124.800000,82,21.220000,282.200000,98,23.990000,311.500000,78,14.020000,10.000000,4,2.700000,2,False.
ID,160,415,390-7274,0,0,0,85.800000,77,14.590000,165.300000,110,14.050000,178.500000,92,8.030000,9.200000,4,2.480000,3,False.
WI,64,510,352-1237,0,0,0,154.000000,67,26.180000,225.800000,118,19.190000,265.300000,86,11.940000,3.500000,3,0.950000,1,False.
OR,59,408,353-3061,0,1,28,120.900000,97,20.550000,213.000000,92,18.110000,163.100000,116,7.340000,8.500000,5,2.300000,2,False.
MI,65,415,363-5450,0,0,0,211.300000,120,35.920000,162.600000,122,13.820000,134.700000,118,6.060000,13.200000,5,3.560000,3,False.
DE,142,408,364-1995,0,0,0,187.000000,133,31.790000,134.600000,74,11.440000,242.200000,127,10.900000,7.400000,5,2.000000,2,False.
ID,119,415,398-1294,0,0,0,159.100000,114,27.050000,231.300000,117,19.660000,143.200000,91,6.440000,8.800000,3,2.380000,5,True.
WY,97,415,405-7146,0,1,24,133.200000,135,22.640000,217.200000,58,18.460000,70.600000,79,3.180000,11.000000,3,2.970000,1,False.
IA,52,408,413-4957,0,0,0,191.900000,108,32.620000,269.800000,96,22.930000,236.800000,87,10.660000,7.800000,5,2.110000,3,False.
IN,60,408,420-5645,0,0,0,220.600000,57,37.500000,211.100000,115,17.940000,249.000000,129,11.210000,6.800000,3,1.840000,1,False.
VA,10,408,349-4396,0,0,0,186.100000,112,31.640000,190.200000,66,16.170000,282.800000,57,12.730000,11.400000,6,3.080000,2,False.
UT,96,415,404-3211,0,0,0,160.200000,117,27.230000,267.500000,67,22.740000,228.500000,68,10.280000,9.300000,5,2.510000,2,False.
WY,87,415,353-3759,0,0,0,151.000000,83,25.670000,219.700000,116,18.670000,203.900000,127,9.180000,9.700000,3,2.620000,5,True.
IN,81,408,363-5947,0,0,0,175.500000,67,29.840000,249.300000,85,21.190000,270.200000,98,12.160000,10.200000,3,2.750000,1,False.
